phase,description,workdate,job_number
20-09065,"WHT WORD ONLY THERMO 125M",2024-01-11,3-05-1824
98-09000,"8” wht sol thermo",2024-01-11,3-05-1824
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-10,1-04-1379
98-09000,"Temp 12”stopbar",2024-01-10,1-04-1379
98-09000,"Temp 12” stopbar",2024-01-10,1-04-1379
60-00021,"TEMP SOLID 4 WHITE",2024-01-05,1-05-4071
60-00022,"TEMP SOLID 4 YELLOW",2024-01-05,1-05-4071
60-00024,"TEMP SKIP 4 YELLOW",2024-01-05,1-05-4071
60-00021,"TEMP SOLID 4 WHITE",2024-01-08,1-05-4100
60-00022,"TEMP SOLID 4 YELLOW",2024-01-08,1-05-4100
60-00024,"TEMP SKIP 4 YELLOW",2024-01-08,1-05-4100
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-08,1-05-4100
60-00032,"TEMP SOLID 4 YELLOW",2024-01-08,1-05-4100
60-00034,"TEMP SKIP 4 YELLOW",2024-01-08,1-05-4100
60-00035,"TEMP SOLID 12 WHT STOPBAR",2024-01-08,1-05-4100
60-00021,"TEMP SOLID 4 WHITE",2024-01-10,1-04-1385
60-00022,"TEMP SOLID 4 YELLOW",2024-01-10,1-04-1385
98-09000,"Temp solid yellow",2024-01-10,1-04-1385
98-09000,"Temp 12” stopbar",2024-01-10,1-04-1385
60-00021,"TEMP SOLID 4 WHITE",2024-01-11,1-04-1337
60-00022,"TEMP SOLID 4 YELLOW",2024-01-11,1-04-1337
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-11,1-04-1337
98-09000,"Temp solid wht",2024-01-11,1-04-1337
98-09000,"Tempmsolid yellow",2024-01-11,1-04-1337
98-09000,"Temp stopbar",2024-01-11,1-04-1337
60-00021,"TEMP SOLID 4 WHITE",2024-01-12,1-05-4179
60-00022,"TEMP SOLID 4 YELLOW",2024-01-12,1-05-4179
30-09025,"RPM TP 1",2024-01-12,1-05-4179
98-09000,"RPM TYPE 3",2024-01-12,1-05-4179
50-09155,"REMOVAL OF PAVEMENT MRKG GRIND",2024-01-14,3-04-0549
98-09000,"4"" YSOL",2024-01-09,3-05-1693
98-09000,"4"" WSOL",2024-01-09,3-05-1693
60-00021,"TEMP SOLID 4 WHITE",2024-01-05,1-05-4100
60-00022,"TEMP SOLID 4 YELLOW",2024-01-05,1-05-4100
60-00024,"TEMP SKIP 4 YELLOW",2024-01-05,1-05-4100
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-05,1-05-4100
60-00027,"TEMP PVMT MRKG RXR",2024-01-05,1-05-4100
60-00021,"TEMP SOLID 4 WHITE",2024-01-05,1-05-4100
60-00022,"TEMP SOLID 4 YELLOW",2024-01-05,1-05-4100
60-00024,"TEMP SKIP 4 YELLOW",2024-01-05,1-05-4100
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-05,1-05-4100
60-00027,"TEMP PVMT MRKG RXR",2024-01-05,1-05-4100
60-00021,"TEMP SOLID 4 WHITE",2024-01-05,1-05-4100
60-00022,"TEMP SOLID 4 YELLOW",2024-01-05,1-05-4100
60-00024,"TEMP SKIP 4 YELLOW",2024-01-05,1-05-4100
60-00025,"TEMP SOLID 12 WHT STOPBAR",2024-01-05,1-05-4100
60-00027,"TEMP PVMT MRKG RXR",2024-01-05,1-05-4100
